incident_id,type,category,priority,latitude,longitude,date,time,timestamp,response_time_minutes,units_dispatched,address
INC-20230125-0001,Fire Alarm,Fire,Low,41.79351539858237,-87.71839175587776,2023-01-25,15:26:00,2023-01-25 15:26:00,15.9,1,"7973 Oak St, Chicago, AZ"
INC-20230325-0002,Traffic Accident,EMS,Medium,41.891159237340524,-87.49812712536686,2023-03-25,20:03:00,2023-03-25 20:03:00,6.7,3,"5620 Oak Blvd, Chicago, AZ"
INC-20230202-0003,Traffic Accident,EMS,Medium,42.09312559434111,-87.51009738846716,2023-02-02,20:08:00,2023-02-02 20:08:00,4.9,3,"2344 Pine Ave, Chicago, AZ"
INC-20230308-0004,Difficulty Breathing,EMS,High,41.896732589741255,-87.75799514899651,2023-03-08,23:01:00,2023-03-08 23:01:00,3.6,1,"6918 Main St, Chicago, AZ"
INC-20230101-0005,Hazmat,Fire,Low,41.9452881473572,-87.5784660663145,2023-01-01,08:51:00,2023-01-01 08:51:00,10.3,2,"358 Cedar Ave, Chicago, AZ"
INC-20230101-0006,Traffic Accident,EMS,Medium,41.85276760053876,-87.74705003289796,2023-01-01,20:20:00,2023-01-01 20:20:00,8.2,2,"7107 Maple Ave, Chicago, AZ"
INC-20230115-0007,Vehicle Fire,Fire,Medium,41.699857414051024,-87.52092260036646,2023-01-15,21:53:00,2023-01-15 21:53:00,9.1,3,"3734 Cedar Ave, Chicago, AZ"
INC-20230108-0008,Traffic Accident,EMS,Medium,41.92844589517605,-87.67895690306642,2023-01-08,01:12:00,2023-01-08 01:12:00,5.2,1,"6252 Main Dr, Chicago, AZ"
INC-20230221-0009,Fall,EMS,Low,42.04024242704428,-87.50727820863861,2023-02-21,23:49:00,2023-02-21 23:49:00,8.4,1,"3960 Main Blvd, Chicago, AZ"
INC-20230301-0010,Fire Alarm,Fire,Low,41.9856474043443,-87.53776490392627,2023-03-01,11:14:00,2023-03-01 11:14:00,8.2,1,"4255 Main St, Chicago, AZ"
INC-20230125-0011,Traffic Accident,EMS,Medium,41.85988103297931,-87.55663252166757,2023-01-25,14:20:00,2023-01-25 14:20:00,6.6,1,"6656 Cedar Blvd, Chicago, AZ"
INC-20230202-0012,Medical Emergency,EMS,Medium,41.85964596463663,-87.55823735555025,2023-02-02,08:09:00,2023-02-02 08:09:00,6.9,1,"1311 Cedar Dr, Chicago, AZ"
INC-20230122-0013,Traffic Accident,EMS,Medium,41.9801739806159,-87.77543660186852,2023-01-22,00:09:00,2023-01-22 00:09:00,4.9,1,"2018 Maple St, Chicago, AZ"
INC-20230203-0014,Medical Emergency,EMS,Medium,41.94448260043155,-87.63284234439132,2023-02-03,10:04:00,2023-02-03 10:04:00,7.2,2,"1672 Maple Ave, Chicago, AZ"
INC-20230320-0015,Structure Fire,Fire,High,41.7643415958389,-87.59490818607584,2023-03-20,16:10:00,2023-03-20 16:10:00,2.9,1,"4440 Maple Dr, Chicago, AZ"
INC-20230202-0016,Medical Emergency,EMS,Medium,41.83236049269035,-87.50880253531237,2023-02-02,12:56:00,2023-02-02 12:56:00,3.8,3,"5618 Pine St, Chicago, AZ"
INC-20230218-0017,Structure Fire,Fire,High,41.8894179106744,-87.55811270252212,2023-02-18,18:54:00,2023-02-18 18:54:00,4.9,1,"2449 Maple Ave, Chicago, AZ"
INC-20230224-0018,Structure Fire,Fire,High,41.698892721354746,-87.5916307833633,2023-02-24,14:42:00,2023-02-24 14:42:00,3.1,3,"8361 Main Blvd, Chicago, AZ"
INC-20230124-0019,Structure Fire,Fire,High,41.93082959684687,-87.65931580179797,2023-01-24,13:18:00,2023-01-24 13:18:00,5.8,3,"6880 Oak Ave, Chicago, AZ"
INC-20230208-0020,Traffic Accident,EMS,Medium,41.8756492112132,-87.46614155572631,2023-02-08,00:12:00,2023-02-08 00:12:00,8.3,2,"4209 Maple Blvd, Chicago, AZ"
INC-20230227-0021,Traffic Accident,EMS,Medium,41.8712513480645,-87.54236896136693,2023-02-27,02:18:00,2023-02-27 02:18:00,10.5,1,"5267 Oak Ave, Chicago, AZ"
INC-20230217-0022,Medical Emergency,EMS,Medium,41.90017198930835,-87.45279994129075,2023-02-17,03:12:00,2023-02-17 03:12:00,2.3,2,"5030 Cedar Blvd, Chicago, AZ"
INC-20230123-0023,Fire Alarm,Fire,Low,41.88860120678225,-87.50566284214882,2023-01-23,13:49:00,2023-01-23 13:49:00,8.4,1,"2323 Pine St, Chicago, AZ"
INC-20230304-0024,Traffic Accident,EMS,Medium,41.70181248511229,-87.73213677284923,2023-03-04,06:59:00,2023-03-04 06:59:00,6.2,2,"7151 Main St, Chicago, AZ"
INC-20230127-0025,Fire Alarm,Fire,Low,41.68653489433121,-87.68755093961553,2023-01-27,23:14:00,2023-01-27 23:14:00,11.0,1,"1967 Oak Dr, Chicago, AZ"
INC-20230105-0026,Traffic Accident,EMS,Medium,41.95537477257796,-87.73502346946967,2023-01-05,15:57:00,2023-01-05 15:57:00,6.3,3,"2281 Pine Dr, Chicago, AZ"
INC-20230109-0027,Medical Emergency,EMS,Medium,41.83330586172325,-87.57095545029838,2023-01-09,22:25:00,2023-01-09 22:25:00,7.4,2,"7219 Cedar Dr, Chicago, AZ"
INC-20230326-0028,Medical Emergency,EMS,Medium,41.91530424693351,-87.59519580707087,2023-03-26,07:15:00,2023-03-26 07:15:00,5.8,3,"6692 Cedar Dr, Chicago, AZ"
INC-20230126-0029,Traffic Accident,EMS,Medium,41.823471479190076,-87.68867464224786,2023-01-26,20:48:00,2023-01-26 20:48:00,5.5,2,"8321 Oak St, Chicago, AZ"
INC-20230107-0030,Water Rescue,EMS,Medium,41.862228575384535,-87.76668939401392,2023-01-07,18:17:00,2023-01-07 18:17:00,8.6,2,"7978 Pine Dr, Chicago, AZ"
INC-20230126-0031,Cardiac Arrest,EMS,High,42.016224508813046,-87.69627403759296,2023-01-26,22:34:00,2023-01-26 22:34:00,1.6,2,"2300 Oak Dr, Chicago, AZ"
INC-20230227-0032,Fire Alarm,Fire,Low,41.81012183104768,-87.72770250295733,2023-02-27,09:31:00,2023-02-27 09:31:00,6.2,1,"1060 Pine Ave, Chicago, AZ"
INC-20230313-0033,Vehicle Fire,Fire,Medium,41.64307089773948,-87.8137988170099,2023-03-13,23:20:00,2023-03-13 23:20:00,4.2,3,"1185 Cedar Ave, Chicago, AZ"
INC-20230329-0034,Fall,EMS,Low,41.78873585772771,-87.62144221787254,2023-03-29,04:16:00,2023-03-29 04:16:00,9.0,2,"2726 Pine Dr, Chicago, AZ"
INC-20230131-0035,Gas Leak,Fire,Medium,41.91460498912317,-87.72904179577402,2023-01-31,18:23:00,2023-01-31 18:23:00,8.6,2,"695 Cedar St, Chicago, AZ"
INC-20230211-0036,Traffic Accident,EMS,Medium,41.87754955630031,-87.81781486356942,2023-02-11,14:22:00,2023-02-11 14:22:00,6.4,1,"2294 Cedar Blvd, Chicago, AZ"
INC-20230223-0037,Traffic Accident,EMS,Medium,41.84528746581424,-87.58320880274259,2023-02-23,15:29:00,2023-02-23 15:29:00,4.8,3,"6028 Oak Blvd, Chicago, AZ"
INC-20230310-0038,Medical Emergency,EMS,Medium,41.9135473218505,-87.55924651627471,2023-03-10,08:01:00,2023-03-10 08:01:00,7.5,2,"5758 Pine Blvd, Chicago, AZ"
INC-20230225-0039,Medical Emergency,EMS,Medium,41.87613511925852,-87.4694294995167,2023-02-25,04:37:00,2023-02-25 04:37:00,4.5,3,"6104 Pine St, Chicago, AZ"
INC-20230325-0040,Difficulty Breathing,EMS,High,42.113425597548726,-87.73665319149075,2023-03-25,18:50:00,2023-03-25 18:50:00,5.8,2,"7640 Pine Dr, Chicago, AZ"
INC-20230219-0041,Fire Alarm,Fire,Low,41.986760251239815,-87.63578461783804,2023-02-19,15:16:00,2023-02-19 15:16:00,8.3,3,"7300 Pine Ave, Chicago, AZ"
INC-20230304-0042,Gas Leak,Fire,Medium,41.87249107816648,-87.5917002787197,2023-03-04,11:15:00,2023-03-04 11:15:00,6.1,2,"5415 Main St, Chicago, AZ"
INC-20230126-0043,Water Rescue,EMS,Medium,41.47638575329734,-87.49156309883465,2023-01-26,10:58:00,2023-01-26 10:58:00,5.0,3,"5545 Oak Ave, Chicago, AZ"
INC-20230211-0044,Medical Emergency,EMS,Medium,41.760882543952775,-87.3796180697566,2023-02-11,10:14:00,2023-02-11 10:14:00,8.4,2,"1507 Oak Ave, Chicago, AZ"
INC-20230223-0045,Traffic Accident,EMS,Medium,41.97771370734692,-87.55022960382385,2023-02-23,08:20:00,2023-02-23 08:20:00,9.9,2,"8321 Maple Blvd, Chicago, AZ"
INC-20230114-0046,Medical Emergency,EMS,Medium,41.89011590678671,-87.64556269515445,2023-01-14,18:26:00,2023-01-14 18:26:00,7.2,2,"5845 Oak Dr, Chicago, AZ"
INC-20230313-0047,Medical Emergency,EMS,Medium,41.994126337715265,-87.57896679245192,2023-03-13,23:40:00,2023-03-13 23:40:00,5.9,2,"3896 Maple Ave, Chicago, AZ"
INC-20230119-0048,Public Assist,EMS,Low,41.97230980391338,-87.76308596681308,2023-01-19,12:44:00,2023-01-19 12:44:00,8.2,2,"6919 Pine St, Chicago, AZ"
INC-20230118-0049,Structure Fire,Fire,High,42.09053027785602,-87.64098372633829,2023-01-18,00:49:00,2023-01-18 00:49:00,4.5,3,"6860 Cedar Dr, Chicago, AZ"
INC-20230117-0050,Stroke,EMS,Low,41.76971066348928,-87.61330090357734,2023-01-17,07:31:00,2023-01-17 07:31:00,8.2,3,"6031 Pine St, Chicago, AZ"
INC-20230314-0051,Medical Emergency,EMS,Medium,41.70394554387203,-87.51349734400556,2023-03-14,22:45:00,2023-03-14 22:45:00,6.3,3,"9911 Maple Dr, Chicago, AZ"
INC-20230314-0052,Vehicle Fire,Fire,Medium,41.664915561751826,-87.40514065000954,2023-03-14,09:37:00,2023-03-14 09:37:00,7.1,1,"7157 Maple St, Chicago, AZ"
INC-20230311-0053,Difficulty Breathing,EMS,High,41.77670828441478,-87.54552150788852,2023-03-11,13:34:00,2023-03-11 13:34:00,4.9,3,"4364 Maple St, Chicago, AZ"
INC-20230215-0054,Fire Alarm,Fire,Low,41.746314421455935,-87.61689037555773,2023-02-15,07:08:00,2023-02-15 07:08:00,7.1,3,"1927 Pine St, Chicago, AZ"
INC-20230101-0055,Traffic Accident,EMS,Medium,41.84503132794802,-87.54957157288503,2023-01-01,07:06:00,2023-01-01 07:06:00,2.0,1,"7413 Oak Dr, Chicago, AZ"
INC-20230314-0056,Public Assist,EMS,Low,41.91643214994391,-87.73403469525095,2023-03-14,10:43:00,2023-03-14 10:43:00,10.1,1,"1363 Cedar Ave, Chicago, AZ"
INC-20230126-0057,Fire Alarm,Fire,Low,41.741097293294594,-87.84837690818739,2023-01-26,01:24:00,2023-01-26 01:24:00,11.3,1,"2118 Main Dr, Chicago, AZ"
INC-20230305-0058,Water Rescue,EMS,Medium,41.80386791149955,-87.58484904140609,2023-03-05,22:41:00,2023-03-05 22:41:00,6.7,2,"5923 Oak Dr, Chicago, AZ"
INC-20230312-0059,Cardiac Arrest,EMS,High,42.0679984579361,-87.61521245007872,2023-03-12,18:58:00,2023-03-12 18:58:00,4.4,2,"1995 Oak St, Chicago, AZ"
INC-20230213-0060,Unconscious Person,EMS,High,41.665238062241734,-87.39396463474354,2023-02-13,19:26:00,2023-02-13 19:26:00,4.2,1,"3223 Cedar Blvd, Chicago, AZ"
INC-20230330-0061,Traffic Accident,EMS,Medium,41.877829886981594,-87.73880756539383,2023-03-30,15:05:00,2023-03-30 15:05:00,5.5,1,"3840 Oak Blvd, Chicago, AZ"
INC-20230320-0062,Cardiac Arrest,EMS,High,41.81462541178539,-87.77914847760242,2023-03-20,14:57:00,2023-03-20 14:57:00,3.1,3,"7514 Maple St, Chicago, AZ"
INC-20230116-0063,Structure Fire,Fire,High,41.97944579801946,-87.57941707674573,2023-01-16,06:34:00,2023-01-16 06:34:00,4.8,3,"5427 Pine St, Chicago, AZ"
INC-20230302-0064,Public Assist,EMS,Low,41.80215248802539,-87.56703226017707,2023-03-02,16:08:00,2023-03-02 16:08:00,8.5,3,"1685 Pine Blvd, Chicago, AZ"
INC-20230120-0065,Medical Emergency,EMS,Medium,41.84304249477591,-87.99203561302141,2023-01-20,04:31:00,2023-01-20 04:31:00,4.4,1,"5457 Oak Ave, Chicago, AZ"
INC-20230110-0066,Traffic Accident,EMS,Medium,42.03156021927224,-87.64922945074906,2023-01-10,08:40:00,2023-01-10 08:40:00,5.4,3,"2440 Oak Dr, Chicago, AZ"
INC-20230218-0067,Water Rescue,EMS,Medium,41.697946025291515,-87.64962157006751,2023-02-18,21:09:00,2023-02-18 21:09:00,5.0,3,"2026 Main St, Chicago, AZ"
INC-20230111-0068,Medical Emergency,EMS,Medium,41.93063207386097,-87.5394016660294,2023-01-11,23:53:00,2023-01-11 23:53:00,4.5,1,"5950 Main Dr, Chicago, AZ"
INC-20230114-0069,Fire Alarm,Fire,Low,41.87719635491358,-87.45177040816773,2023-01-14,04:23:00,2023-01-14 04:23:00,10.5,1,"7215 Oak Dr, Chicago, AZ"
INC-20230222-0070,Public Assist,EMS,Low,41.937197092108065,-87.73436699893517,2023-02-22,02:50:00,2023-02-22 02:50:00,8.4,2,"3776 Main Blvd, Chicago, AZ"
INC-20230306-0071,Vehicle Fire,Fire,Medium,41.9371277481637,-87.61202795057956,2023-03-06,19:16:00,2023-03-06 19:16:00,10.1,2,"1661 Oak St, Chicago, AZ"
INC-20230109-0072,Fire Alarm,Fire,Low,41.781230781497555,-87.54522605381285,2023-01-09,07:51:00,2023-01-09 07:51:00,6.0,2,"7216 Oak Dr, Chicago, AZ"
