station,station_number,station_type,primary_apparatus,personnel,latitude,longitude,address,phone,built_year
Station 1,1,Engine,Engine 1,4,41.74647614756545,-87.58852709714668,"8114 Main St, Chicago, AZ",(555) 755-7137,2005
Station 2,2,Engine,Engine 2,4,41.922845375497374,-87.46550258621225,"4960 Main St, Chicago, AZ",(555) 380-1246,2020
Station 3,3,Battalion,Battalion 3,1,41.69897884288618,-87.68724230030318,"2472 Main St, Chicago, AZ",(555) 556-4907,2010
Station 4,4,Battalion,Battalion 4,1,41.859846913249285,-87.52599652514913,"1800 Main St, Chicago, AZ",(555) 507-9714,2005
Station 5,5,Battalion,Battalion 5,1,41.77816496345924,-87.68258098934119,"1016 Main St, Chicago, AZ",(555) 436-3957,2011
Station 6,6,Hazmat,Hazmat 6,4,41.97846164086715,-87.76056056771277,"4480 Main St, Chicago, AZ",(555) 610-7449,2017
Station 7,7,Engine,Engine 7,4,42.0019895704051,-87.7351386131419,"6171 Main St, Chicago, AZ",(555) 359-9506,2011
Station 8,8,Engine,Engine 8,4,41.920417731279926,-87.71871002251588,"2711 Main St, Chicago, AZ",(555) 581-1900,2000
Station 9,9,Engine,Engine 9,4,41.904092009820566,-87.49461622082562,"2848 Main St, Chicago, AZ",(555) 763-7629,2016
Station 10,10,Engine,Engine 10,4,41.821469242628815,-87.52316618138423,"2105 Main St, Chicago, AZ",(555) 919-2955,1982
Station 11,11,Engine,Engine 11,5,41.741330419129675,-87.77073278971008,"2028 Main St, Chicago, AZ",(555) 653-6792,2013
Station 12,12,Engine,Engine 12,4,41.77953839231448,-87.66297911576177,"9899 Main St, Chicago, AZ",(555) 217-6960,1975
Station 13,13,Ladder,Ladder 13,6,41.72734005379376,-87.57366037180887,"7571 Main St, Chicago, AZ",(555) 409-2869,2022
Station 14,14,Hazmat,Hazmat 14,5,41.98934065293788,-87.6611107768621,"8564 Main St, Chicago, AZ",(555) 704-2623,1985
Station 15,15,Engine,Engine 15,3,41.90197325082598,-87.45908457064985,"1266 Main St, Chicago, AZ",(555) 142-4943,2019
