station,station_number,station_type,primary_apparatus,personnel,latitude,longitude,address,phone,built_year
Station 1,1,Ladder,Ladder 1,4,47.57472375324478,-122.2543367437447,"9677 Main St, Seattle, AZ",(555) 214-6146,1986
Station 2,2,Ladder,Ladder 2,5,47.51856193596542,-122.26354294657202,"297 Main St, Seattle, AZ",(555) 535-6402,1986
Station 3,3,Engine,Engine 3,5,47.57092322518917,-122.30202819739506,"2537 Main St, Seattle, AZ",(555) 519-1758,2019
Station 4,4,Rescue,Rescue 4,3,47.72487373626439,-122.28063160528225,"885 Main St, Seattle, AZ",(555) 679-3746,1970
Station 5,5,Engine,Engine 5,4,47.5741384452022,-122.39143247540265,"9176 Main St, Seattle, AZ",(555) 571-8005,2000
Station 6,6,Engine,Engine 6,3,47.494429325965356,-122.25770970192265,"7126 Main St, Seattle, AZ",(555) 339-9304,1990
Station 7,7,Engine,Engine 7,3,47.74136869647747,-122.41777032768613,"9076 Main St, Seattle, AZ",(555) 348-6861,1987
Station 8,8,Ladder,Ladder 8,5,47.49860762186159,-122.38932668056837,"7535 Main St, Seattle, AZ",(555) 331-3531,1990
Station 9,9,Engine,Engine 9,5,47.71309324068343,-122.45649260553391,"9489 Main St, Seattle, AZ",(555) 969-5036,2019
Station 10,10,Ladder,Ladder 10,5,47.48396921047771,-122.27213316562757,"5957 Main St, Seattle, AZ",(555) 678-6494,1982
Station 11,11,Ladder,Ladder 11,4,47.73809610971885,-122.38297115940544,"4513 Main St, Seattle, AZ",(555) 696-5118,2022
Station 12,12,Engine,Engine 12,4,47.73998957438434,-122.35379708633049,"443 Main St, Seattle, AZ",(555) 893-7285,2014
Station 13,13,Engine,Engine 13,5,47.484325192629136,-122.36462688124267,"4646 Main St, Seattle, AZ",(555) 681-8841,2020
Station 14,14,Engine,Engine 14,4,47.71973771721824,-122.42135366488408,"2805 Main St, Seattle, AZ",(555) 570-4413,2018
Station 15,15,Hazmat,Hazmat 15,4,47.592528650993195,-122.2625443518655,"2204 Main St, Seattle, AZ",(555) 579-1391,1999
